Parameter,Description,Units,Variable Description,Notes
Cube,Cube number for the experiment,n/a,Qualitative Variable,
IncTime,Time of incubation,hours,Qualitative Variable,
LC,Limnocorral number,n/a,Qualitative Variable,"Limnocorrals 1-12 indicate limnocorral number, 13-15 indicate pond number as they are samples from the pond"
Pond,Pond Number,n/a,Qualitative Variable,Limnocorral water was originated from the surrounding ponds. Ponds used are numbered 13-15
NutRat,Nitrogen (N):Phosporous (P) ratio of additions to limnocorrals,n/a,Qualitative Variable,"0 indicates no nutrient addition control ponds, all nutrient additions are normalized to P"
VitAdd,Whether vitamins were added or not,n/a,Qualitative Variable,
P_F_B,steady-state fluorescence of cyanobacteria as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Fm_B,maximum fluorescence at light-adapted state of cyanobacteria as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Fm-F_B,Difference between F and Fm of cyanobacteria as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Y_B,Photochemical effiency photosystem II of cyanobacteria as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,Value between 0 and 1
P_FvFM_B,Photochemical efficiency of photosystem II  in actinic light of cyanobacteria as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,Value between 0 and 1
P_Chl_B,Concentration of cyanobacteria chlorophyll a as measured by the Phyto-PAM-II,µg L-1,Quantatative Continuous Variable,
P_F_E_B,steady-state fluorescence of cyanobacteria as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Fm_E_B,maximum fluorescence at light-adapted state of cyanobacteria as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Fm-F_E_B,Difference between F and Fm of cyanobacteria as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Y_E_B,Photochemical effiency photosystem II of cyanobacteria as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,Value between 0 and 1; n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_FvFM_E_B,Photochemical efficiency of photosystem II  in actinic light of cyanobacteria as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,Value between 0 and 1; n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Chl_E_B,Concentration of cyanobacteria chlorophyll a as measured by the Phyto-PAM-II standard deviation,µg L-1,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_F_G,steady-state fluorescence of green algae as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Fm_G,maximum fluorescence at light-adapted state of green algae as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Fm-F_G,Difference between F and Fm of green algae as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,
P_Y_G,Photochemical effiency photosystem II of green algae as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,Value between 0 and 1
P_FvFM_G,Photochemical efficiency of photosystem II  in actinic light of green algae as measured by the Phyto-PAM-II,unitless,Quantatative Continuous Variable,Value between 0 and 1
P_Chl_G,Concentration of green algae chlorophyll a as measured by the Phyto-PAM-II,µg L-1,Quantatative Continuous Variable,
P_F_E_G,steady-state fluorescence of green algae as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Fm_E_G,maximum fluorescence at light-adapted state of green algae as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Fm-F_E_G,Difference between F and Fm of green algae as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_Y_E_G,Photochemical effiency photosystem II of green algae as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,Value between 0 and 1; n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
P_FvFM_E_G,Photochemical efficiency of photosystem II  in actinic light of green algae as measured by the Phyto-PAM-II standard deviation,unitless,Quantatative Continuous Variable,Value between 0 and 1; n/a indicates that it was not in duplicate. This is due to cube being true replicates but T0 being run in duplicates. 
