"","NutRat","VitAdd","Year","Value","SD","Nut"
"1",0,"no","2022",7.81674810856649,0.673822131052863,"CN"
"2",2.2,"no","2022",7.70130918605026,0.553076156457429,"CN"
"3",16,"no","2022",7.6614630494727,0.387601283522496,"CN"
"4",55,"no","2022",9.04223461093557,3.01294605565962,"CN"
"5",110,"no","2022",7.8997946335332,1.04283529686365,"CN"
"6",0,"yes","2022",8.45240810431154,0.484352024249003,"CN"
"7",2.2,"yes","2022",7.6300348075285,0.553458916448524,"CN"
"8",16,"yes","2022",7.9050083527593,0.722584487434712,"CN"
"9",55,"yes","2022",9.20031879396723,2.78698578224575,"CN"
"10",110,"yes","2022",7.50287540120976,1.3308298091759,"CN"
"11",0,"no","2023",8.51274402125315,2.49893776909706,"CN"
"12",2.2,"no","2023",11.1873342336533,3.33939485364064,"CN"
"13",16,"no","2023",9.06908773030698,3.15951654903282,"CN"
"14",55,"no","2023",8.82006675565345,2.29929944627464,"CN"
"15",110,"no","2023",7.3112058904127,1.66043223932492,"CN"
"16",0,"yes","2023",7.85939969200033,0.839266036895745,"CN"
"17",2.2,"yes","2023",10.5922093485421,2.80499893077252,"CN"
"18",16,"yes","2023",10.1841942308616,3.44419301848409,"CN"
"19",55,"yes","2023",8.9553837230659,2.78346600884145,"CN"
"20",110,"yes","2023",7.67688055530508,1.45976212306729,"CN"
"21",0,"no","2022",82.1717952774573,13.2687869631904,"CP"
"22",2.2,"no","2022",74.0298815580107,16.9297089842661,"CP"
"23",16,"no","2022",64.0567908288906,33.1676138387724,"CP"
"24",55,"no","2022",110.403413168203,61.9179431403175,"CP"
"25",110,"no","2022",80.0956760957924,31.8717987150427,"CP"
"26",0,"yes","2022",71.2404034935761,10.4578834973787,"CP"
"27",2.2,"yes","2022",75.2202417395047,28.3123959092008,"CP"
"28",16,"yes","2022",68.3449513834571,12.8817449823366,"CP"
"29",55,"yes","2022",117.174358264605,83.9032615721452,"CP"
"30",110,"yes","2022",69.1269326926952,24.379830341005,"CP"
"31",0,"no","2023",193.384451862777,17.629395919694,"CP"
"32",2.2,"no","2023",138.875342346992,28.6768503569162,"CP"
"33",16,"no","2023",149.921342168156,27.1938958998105,"CP"
"34",55,"no","2023",133.93660123004,13.6221216333742,"CP"
"35",110,"no","2023",355.653218086591,160.841748641968,"CP"
"36",0,"yes","2023",252.773000167678,55.8420057578532,"CP"
"37",2.2,"yes","2023",147.212121201518,18.7297072233509,"CP"
"38",16,"yes","2023",160.869900114619,41.2412965300895,"CP"
"39",55,"yes","2023",154.818582786171,39.9456513519585,"CP"
"40",110,"yes","2023",448.263847050164,128.175643885572,"CP"
"41",0,"no","2022",10.6370943453831,2.34553610201659,"NP"
"42",2.2,"no","2022",9.73788099125189,2.63128882900971,"NP"
"43",16,"no","2022",8.40307371879287,4.34588944460206,"NP"
"44",55,"no","2022",14.6137962737956,10.3702174268186,"NP"
"45",110,"no","2022",10.0595470219343,3.626568353863,"NP"
"46",0,"yes","2022",8.40222307748269,0.887453041925679,"NP"
"47",2.2,"yes","2022",10.0684857556327,4.36062525385851,"NP"
"48",16,"yes","2022",8.68953205259321,1.60589073298922,"NP"
"49",55,"yes","2022",14.0219863263078,8.95275857556315,"NP"
"50",110,"yes","2022",9.47245062024971,3.75977196212421,"NP"
"51",0,"no","2023",23.4548923912708,7.7896175826452,"NP"
"52",2.2,"no","2023",13.2646621655688,4.24245310993347,"NP"
"53",16,"no","2023",15.5604817212613,5.39691803645445,"NP"
"54",55,"no","2023",13.4939099176663,2.2585943152599,"NP"
"55",110,"no","2023",42.1542006616373,15.6159347875472,"NP"
"56",0,"yes","2023",31.1186409355272,8.07882430860977,"NP"
"57",2.2,"yes","2023",14.1263640683099,4.04106559199616,"NP"
"58",16,"yes","2023",14.3709169201844,7.38887249497432,"NP"
"59",55,"yes","2023",15.7050975204332,5.62483910304112,"NP"
"60",110,"yes","2023",51.979658635922,11.2749368364198,"NP"
