"","NutRat","VitAdd","Year","Value","SD","Group"
"1",0,"no","2022",22.4490323887203,8.71972540928202,"Cyanos"
"2",2.2,"no","2022",31.490383259205,28.349713041807,"Cyanos"
"3",16,"no","2022",27.7638386520086,7.30770353582995,"Cyanos"
"4",55,"no","2022",30.4396592528987,27.0883453717609,"Cyanos"
"5",110,"no","2022",35.823883869466,16.2210215439084,"Cyanos"
"6",0,"yes","2022",24.2969356512828,5.16837017163003,"Cyanos"
"7",2.2,"yes","2022",31.153023498036,28.2870137338674,"Cyanos"
"8",16,"yes","2022",27.0843171136038,7.81960315526644,"Cyanos"
"9",55,"yes","2022",30.8895923730823,27.0183763288719,"Cyanos"
"10",110,"yes","2022",36.6506668570573,18.2603951528608,"Cyanos"
"11",0,"no","2023",28.1248544458136,9.27080994616398,"Cyanos"
"12",2.2,"no","2023",0,0,"Cyanos"
"13",16,"no","2023",25.080791547944,22.8748620792766,"Cyanos"
"14",55,"no","2023",33.8122268212835,35.4824150566017,"Cyanos"
"15",110,"no","2023",58.8254132614485,38.9601218816252,"Cyanos"
"16",0,"yes","2023",30.7872767347271,4.69385800829513,"Cyanos"
"17",2.2,"yes","2023",0,0,"Cyanos"
"18",16,"yes","2023",23.1142953531752,21.2074361524446,"Cyanos"
"19",55,"yes","2023",34.1267240411061,35.4512513174817,"Cyanos"
"20",110,"yes","2023",59.0384860762544,36.4043156666092,"Cyanos"
"21",0,"no","2022",41.129598695563,10.9034370513489,"Green"
"22",2.2,"no","2022",68.509616740795,28.349713041807,"Green"
"23",16,"no","2022",54.8558775517846,13.0430891059992,"Green"
"24",55,"no","2022",57.0240781120818,44.5928318216511,"Green"
"25",110,"no","2022",61.2767855967156,13.4042327827192,"Green"
"26",0,"yes","2022",45.0500257985271,2.96557712009816,"Green"
"27",2.2,"yes","2022",66.5644151355977,27.8961529845632,"Green"
"28",16,"yes","2022",59.7232116863307,16.1930268052841,"Green"
"29",55,"yes","2022",56.5387821143985,44.4257243101958,"Green"
"30",110,"yes","2022",59.4445564760177,13.4358813349394,"Green"
"31",0,"no","2023",39.242339731899,9.79715946290304,"Green"
"32",2.2,"no","2023",100,0,"Green"
"33",16,"no","2023",72.9259102386621,24.0602454610758,"Green"
"34",55,"no","2023",59.6941178111099,45.1250698336007,"Green"
"35",110,"no","2023",30.850301351576,46.2854224960834,"Green"
"36",0,"yes","2023",38.7032520370427,6.72428951264831,"Green"
"37",2.2,"yes","2023",100,0,"Green"
"38",16,"yes","2023",75.2190379801581,24.326321596242,"Green"
"39",55,"yes","2023",59.399569140155,44.9917749144296,"Green"
"40",110,"yes","2023",29.6642290311373,44.5140705408365,"Green"
"41",0,"no","2022",36.4213689157167,18.7157154570161,"Brown"
"42",2.2,"no","2022",0,0,"Brown"
"43",16,"no","2022",17.3802837962068,8.76216981096997,"Brown"
"44",55,"no","2022",5.9850217802698,8.98391583282685,"Brown"
"45",110,"no","2022",2.89933053381837,5.76146231526543,"Brown"
"46",0,"yes","2022",30.6530385501901,6.73318331030983,"Brown"
"47",2.2,"yes","2022",2.28256136636628,3.4650962719619,"Brown"
"48",16,"yes","2022",13.1924712000655,10.7712734960909,"Brown"
"49",55,"yes","2022",5.86338574854847,8.79631055891106,"Brown"
"50",110,"yes","2022",3.904776666925,5.86721540642318,"Brown"
"51",0,"no","2023",32.6328058222873,3.83800662145219,"Brown"
"52",2.2,"no","2023",0,0,"Brown"
"53",16,"no","2023",1.99329821339391,4.09012553090028,"Brown"
"54",55,"no","2023",6.4936553676066,9.74187687119827,"Brown"
"55",110,"no","2023",10.3242853869755,9.60167803578336,"Brown"
"56",0,"yes","2023",30.5094712282302,2.3639124627601,"Brown"
"57",2.2,"yes","2023",0,0,"Brown"
"58",16,"yes","2023",1.66666666666667,5,"Brown"
"59",55,"yes","2023",6.47370681873898,9.88615448560799,"Brown"
"60",110,"yes","2023",11.2972848926082,9.88956660472628,"Brown"
"61",0,"no","2022",0,0,"PE"
"62",2.2,"no","2022",0,0,"PE"
"63",16,"no","2022",0,0,"PE"
"64",55,"no","2022",6.55124085474975,9.82699891511693,"PE"
"65",110,"no","2022",0,0,"PE"
"66",0,"yes","2022",0,0,"PE"
"67",2.2,"yes","2022",0,0,"PE"
"68",16,"yes","2022",0,0,"PE"
"69",55,"yes","2022",6.70823976397073,10.0641067502157,"PE"
"70",110,"yes","2022",0,0,"PE"
"71",0,"no","2023",0,0,"PE"
"72",2.2,"no","2023",0,0,"PE"
"73",16,"no","2023",0,0,"PE"
"74",55,"no","2023",0,0,"PE"
"75",110,"no","2023",0,0,"PE"
"76",0,"yes","2023",0,0,"PE"
"77",2.2,"yes","2023",0,0,"PE"
"78",16,"yes","2023",0,0,"PE"
"79",55,"yes","2023",0,0,"PE"
"80",110,"yes","2023",0,0,"PE"
