"","NutRat","VitAdd","Year","Value","SD","Group"
"1",0,"no","2022",0.274444444444444,0.048762462794426,"Cyanos"
"2",2.2,"no","2022",0.152222222222222,0.125476868164791,"Cyanos"
"3",16,"no","2022",0.183333333333333,0.146884308215684,"Cyanos"
"4",55,"no","2022",0.187777777777778,0.142107158315281,"Cyanos"
"5",110,"no","2022",0.123333333333333,0.0380788655293195,"Cyanos"
"6",0,"yes","2022",0.283333333333333,0.0466368952654441,"Cyanos"
"7",2.2,"yes","2022",0.161111111111111,0.133364579672082,"Cyanos"
"8",16,"yes","2022",0.182222222222222,0.144116079756717,"Cyanos"
"9",55,"yes","2022",0.183333333333333,0.137840487520902,"Cyanos"
"10",110,"yes","2022",0.125555555555556,0.0815645620216144,"Cyanos"
"11",0,"no","2023",0.224444444444444,0.0995127015901879,"Cyanos"
"12",2.2,"no","2023",0,0,"Cyanos"
"13",16,"no","2023",0.107777777777778,0.162386712647447,"Cyanos"
"14",55,"no","2023",0.131111111111111,0.196941897805193,"Cyanos"
"15",110,"no","2023",0.127777777777778,0.102564342948436,"Cyanos"
"16",0,"yes","2023",0.234444444444444,0.0918029290261361,"Cyanos"
"17",2.2,"yes","2023",0,0,"Cyanos"
"18",16,"yes","2023",0.104444444444444,0.156852726395743,"Cyanos"
"19",55,"yes","2023",0.171111111111111,0.175459713641369,"Cyanos"
"20",110,"yes","2023",0.125555555555556,0.109785143702496,"Cyanos"
"21",0,"no","2022",0.556666666666667,0.02,"Green"
"22",2.2,"no","2022",0.463333333333333,0.0466368952654441,"Green"
"23",16,"no","2022",0.422222222222222,0.186130181444183,"Green"
"24",55,"no","2022",0.321111111111111,0.256780277885805,"Green"
"25",110,"no","2022",0.338888888888889,0.231324687638633,"Green"
"26",0,"yes","2022",0.551111111111111,0.0176383420737639,"Green"
"27",2.2,"yes","2022",0.474444444444444,0.0497772817435603,"Green"
"28",16,"yes","2022",0.503333333333333,0.0972111104761179,"Green"
"29",55,"yes","2022",0.333333333333333,0.265659556575705,"Green"
"30",110,"yes","2022",0.317777777777778,0.229824812508233,"Green"
"31",0,"no","2023",0.607777777777778,0.0345607355888795,"Green"
"32",2.2,"no","2023",0.491111111111111,0.0557773351022717,"Green"
"33",16,"no","2023",0.574444444444444,0.035746017649212,"Green"
"34",55,"no","2023",0.378888888888889,0.284492725937081,"Green"
"35",110,"no","2023",0.185555555555556,0.278438104033514,"Green"
"36",0,"yes","2023",0.604444444444444,0.0181046341520004,"Green"
"37",2.2,"yes","2023",0.493333333333333,0.0729725975966321,"Green"
"38",16,"yes","2023",0.573333333333333,0.0570087712549569,"Green"
"39",55,"yes","2023",0.388888888888889,0.29182376721424,"Green"
"40",110,"yes","2023",0.185555555555556,0.278393207132965,"Green"
"41",0,"no","2022",0.431111111111111,0.0416666666666667,"Brown"
"42",2.2,"no","2022",0,0,"Brown"
"43",16,"no","2022",0.22,0.175641680702503,"Brown"
"44",55,"no","2022",0.123333333333333,0.185202591774521,"Brown"
"45",110,"no","2022",0,0,"Brown"
"46",0,"yes","2022",0.432222222222222,0.0345607355888795,"Brown"
"47",2.2,"yes","2022",0,0,"Brown"
"48",16,"yes","2022",0.0977777777777778,0.147459975737298,"Brown"
"49",55,"yes","2022",0.13,0.195,"Brown"
"50",110,"yes","2022",0.0466666666666667,0.14,"Brown"
"51",0,"no","2023",0.386666666666667,0.0563471383479232,"Brown"
"52",2.2,"no","2023",0,0,"Brown"
"53",16,"no","2023",0.0566666666666667,0.17,"Brown"
"54",55,"no","2023",0.0966666666666667,0.145258390463339,"Brown"
"55",110,"no","2023",0.177777777777778,0.138001610296563,"Brown"
"56",0,"yes","2023",0.404444444444444,0.0364386851817924,"Brown"
"57",2.2,"yes","2023",0,0,"Brown"
"58",16,"yes","2023",0,0,"Brown"
"59",55,"yes","2023",0.0877777777777778,0.132266565860177,"Brown"
"60",110,"yes","2023",0.234444444444444,0.207551867680775,"Brown"
"61",0,"no","2022",0,0,"PE"
"62",2.2,"no","2022",0,0,"PE"
"63",16,"no","2022",0,0,"PE"
"64",55,"no","2022",0.0655555555555556,0.101132476375187,"PE"
"65",110,"no","2022",0,0,"PE"
"66",0,"yes","2022",0,0,"PE"
"67",2.2,"yes","2022",0,0,"PE"
"68",16,"yes","2022",0,0,"PE"
"69",55,"yes","2022",0.06,0.0901387818865997,"PE"
"70",110,"yes","2022",0,0,"PE"
"71",0,"no","2023",0,0,"PE"
"72",2.2,"no","2023",0,0,"PE"
"73",16,"no","2023",0,0,"PE"
"74",55,"no","2023",0,0,"PE"
"75",110,"no","2023",0,0,"PE"
"76",0,"yes","2023",0,0,"PE"
"77",2.2,"yes","2023",0,0,"PE"
"78",16,"yes","2023",0,0,"PE"
"79",55,"yes","2023",0,0,"PE"
"80",110,"yes","2023",0,0,"PE"
