"","NutRat","VitAdd","Year","Value","SD","Nut"
"1",0,"no","2022",681.555555555556,63.0953863430424,"TN"
"2",2.2,"no","2022",4855.05555555556,6067.89682697208,"TN"
"3",16,"no","2022",1458.44444444444,821.374474754224,"TN"
"4",55,"no","2022",6614.88888888889,5358.46637211722,"TN"
"5",110,"no","2022",4813.33333333333,2878.9451193102,"TN"
"6",0,"yes","2022",636.444444444444,45.4618276994863,"TN"
"7",2.2,"yes","2022",3948.55555555556,5078.93229702639,"TN"
"8",16,"yes","2022",1408.77777777778,861.739487574084,"TN"
"9",55,"yes","2022",7606.83333333333,5400.53566787592,"TN"
"10",110,"yes","2022",4889.11111111111,3106.63919873408,"TN"
"11",0,"no","2023",461.444444444444,118.40830958078,"TN"
"12",2.2,"no","2023",494.111111111111,95.4560690114102,"TN"
"13",16,"no","2023",581.222222222222,185.317820094141,"TN"
"14",55,"no","2023",762.111111111111,177.471437451527,"TN"
"15",110,"no","2023",805.666666666667,319.073365387962,"TN"
"16",0,"yes","2023",562.111111111111,92.8176228477713,"TN"
"17",2.2,"yes","2023",509.111111111111,67.3395211678188,"TN"
"18",16,"yes","2023",589.944444444444,168.142879057597,"TN"
"19",55,"yes","2023",753.833333333333,145.124515503067,"TN"
"20",110,"yes","2023",827.666666666667,371.033691192592,"TN"
"21",0,"no","2022",17.3333333333333,3.38045854877707,"TP"
"22",2.2,"no","2022",28.9722222222222,10.5318894052513,"TP"
"23",16,"no","2022",27.2777777777778,2.47476149243608,"TP"
"24",55,"no","2022",159.133333333333,182.676907407587,"TP"
"25",110,"no","2022",61.3444444444444,36.5938898967816,"TP"
"26",0,"yes","2022",19.4111111111111,3.57121983516993,"TP"
"27",2.2,"yes","2022",26.3722222222222,8.52177765753393,"TP"
"28",16,"yes","2022",28.2611111111111,5.55392753923844,"TP"
"29",55,"yes","2022",105.861111111111,15.7652659701989,"TP"
"30",110,"yes","2022",61.6,36.4115709630881,"TP"
"31",0,"no","2023",16.0222222222222,4.52680289436645,"TP"
"32",2.2,"no","2023",110.933333333333,44.2099253561912,"TP"
"33",16,"no","2023",115.088888888889,45.1555490622261,"TP"
"34",55,"no","2023",151.555555555556,31.9026296373477,"TP"
"35",110,"no","2023",120.455555555556,51.2708521265034,"TP"
"36",0,"yes","2023",15.5444444444444,4.04107383968392,"TP"
"37",2.2,"yes","2023",113.477777777778,37.9403405947343,"TP"
"38",16,"yes","2023",123.355555555556,42.7378962722521,"TP"
"39",55,"yes","2023",152.611111111111,29.5632560979184,"TP"
"40",110,"yes","2023",119.827777777778,54.9001201678507,"TP"
"41",0,"no","2022",375.722222222222,25.9700682410433,"TDN"
"42",2.2,"no","2022",4541.66666666667,6194.6269258124,"TDN"
"43",16,"no","2022",1194.16666666667,859.059078294386,"TDN"
"44",55,"no","2022",7031.88888888889,5046.52222932894,"TDN"
"45",110,"no","2022",4324.55555555556,2711.09604731698,"TDN"
"46",0,"yes","2022",453.111111111111,139.752857255625,"TDN"
"47",2.2,"yes","2022",4254.11111111111,5782.48001389638,"TDN"
"48",16,"yes","2022",1231.88888888889,887.761150935944,"TDN"
"49",55,"yes","2022",5755.61111111111,4286.36974736328,"TDN"
"50",110,"yes","2022",4338.88888888889,2306.59079836696,"TDN"
"51",0,"no","2023",419.5,59.9739526794758,"TDN"
"52",2.2,"no","2023",360.777777777778,59.1793413654161,"TDN"
"53",16,"no","2023",395.944444444444,84.3476601796267,"TDN"
"54",55,"no","2023",489.611111111111,151.189404758108,"TDN"
"55",110,"no","2023",398.055555555556,65.820040852143,"TDN"
"56",0,"yes","2023",447.055555555556,75.0110177092524,"TDN"
"57",2.2,"yes","2023",338.888888888889,61.5679389870338,"TDN"
"58",16,"yes","2023",363.444444444444,96.1861620909046,"TDN"
"59",55,"yes","2023",547.055555555556,180.748866601641,"TDN"
"60",110,"yes","2023",446.166666666667,129.60516964998,"TDN"
"61",0,"no","2022",12.4444444444444,4.36668956736998,"TDP"
"62",2.2,"no","2022",15.3055555555556,2.74732192831087,"TDP"
"63",16,"no","2022",18.0288888888889,6.99220180709275,"TDP"
"64",55,"no","2022",45.1277777777778,21.4766895597167,"TDP"
"65",110,"no","2022",29.4411111111111,21.0497734218474,"TDP"
"66",0,"yes","2022",10.82,4.76755964828968,"TDP"
"67",2.2,"yes","2022",14.0788888888889,3.02130122813186,"TDP"
"68",16,"yes","2022",16.6,6.11023731126705,"TDP"
"69",55,"yes","2022",46.6333333333333,21.7506896442389,"TDP"
"70",110,"yes","2022",26.2955555555556,18.70927183986,"TDP"
"71",0,"no","2023",11.2738888888889,3.8357412727022,"TDP"
"72",2.2,"no","2023",78.6611111111111,38.4305036541432,"TDP"
"73",16,"no","2023",90.3666666666667,54.9477479065339,"TDP"
"74",55,"no","2023",64.1611111111111,36.1124612995447,"TDP"
"75",110,"no","2023",73.0111111111111,30.12388771575,"TDP"
"76",0,"yes","2023",9.77333333333333,4.03018920151399,"TDP"
"77",2.2,"yes","2023",70.8666666666667,35.8902145438001,"TDP"
"78",16,"yes","2023",85.3,51.8229920016203,"TDP"
"79",55,"yes","2023",67.6666666666667,32.7739988405443,"TDP"
"80",110,"yes","2023",68.1277777777778,35.7500271950168,"TDP"
