"","Cube","IncTime","LC","Pond","NutRat","VitAdd","Year","P_F_B","P_Fm_B","P_Fm.F_B","P_Y_B","P_FvFM_B","P_Chl_B","P_F_G","P_Fm_G","P_Fm.F_G","P_Y_G","P_FvFM_G","P_Chl_G","P_F_Br","P_Fm_Br","P_Fm.F_Br","P_Y_Br","P_FvFM_Br","P_Chl_Br","P_F_PE","P_Fm_PE","P_Fm.F_PE","P_Y_PE","P_FvFM_PE","P_Chl_PE","P_F_E_B","P_Fm_E_B","P_Fm.F_E_B","P_Y_E_B","P_FvFM_E_B","P_Chl_E_B","P_F_E_G","P_Fm_E_G","P_Fm.F_E_G","P_Y_E_G","P_FvFM_E_G","P_Chl_E_G","P_F_E_Br","P_Fm_E_Br","P_Fm.F_E_Br","P_Y_E_Br","P_FvFM_E_Br","P_Chl_E_Br","P_F_E_PE","P_Fm_E_PE","P_Fm.F_E_PE","P_Y_E_PE","P_FvFM_E_PE","P_Chl_E_PE","L_TDN","L_TN","L_TDP","L_TP","L_DP","L_NH4","L_NOX","PP","Chl_445","EA_N","EA_C","Constant1","P_Chl_Total","Prop_Chl_B","Prop_Chl_G","Prop_Chl_Br","Prop_Chl_PE","Perc_Chl_B","Perc_Chl_G","Perc_Chl_Br","Perc_Chl_PE","PP1","CNRatio","CPRatio","NPRatio","CNPRatio","CPRatio1","NPRatio1","CNPRatio1"
"1","1",48,1,13,2.2,"no","2022",0,0,0,0,0,0,3464,6668,3191,0.48,0.48,30.1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",524,926.5,20,30.4,2.11,40,12.1,0.018912436,9.339885,0.194106027,1.557565,1,30.1,0,1,0,0,0,100,0,0,0.018912436,8.02430003886484,82.3566567522026,10.2634069455675,"82.3566567522026:10.2634069455675:1",82.3566567522026,10.2634069455675,"82.3566567522026:10.2634069455675:1"
"2","2",48,1,13,2.2,"no","2022",0,0,0,0,0,0,3350,6232,2814,0.45,0.45,29.1,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",492,868,18.2,24.1,2.04,30.8,11.5,0.017629527,11.742485,0.207438637,1.552456,1,29.1,0,1,0,0,0,100,0,0,0.017629527,7.48392884976389,88.0599916265479,11.7665458069295,"88.0599916265479:11.7665458069295:1",88.0599916265479,11.7665458069295,"88.0599916265479:11.7665458069295:1"
"3","3",48,1,13,2.2,"no","2022",178,135,0,0,0,1.3,4099,7594,3422,0.45,0.45,35.6,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",571,978,16.2,32.1,2.03,38.1,12.9,0.017697049,13.61206917,0.226633642,1.654039919,1,36.9,0.035230352303523,0.964769647696477,0,0,3.5230352303523,96.4769647696477,0,0,0.017697049,7.29829827735813,93.4641656357509,12.8062956711031,"93.4641656357509:12.8062956711031:1",93.4641656357509,12.8062956711031,"93.4641656357509:12.8062956711031:1"
"4","4",48,1,13,2.2,"yes","2022",0,127,0,0,0,0.09,3175,6790,3239,0.48,0.48,27.6,300,0,0,0,0,1.7,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",541,547,16.2,26.8,1.44,42.3,13.1,0.021365717,13.10322583,0.232141037,1.723495424,1,29.39,0.0030622660768969,0.939094930248384,0.0578428036747193,0,0.30622660768969,93.9094930248384,5.78428036747193,0,0.021365717,7.42434619175066,80.6663976687513,10.865118029973,"80.6663976687513:10.865118029973:1",80.6663976687513,10.865118029973,"80.6663976687513:10.865118029973:1"
"5","5",48,1,13,2.2,"yes","2022",89,0,0,0,0,0.6,2474,5448,2647,0.49,0.49,21.5,333,0,0,0,0,1.9,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",562,751,16.4,31.65,2.13,50.35,14.65,0.020758024,12.31139333,0.242012627,1.942596585,1,24,0.025,0.895833333333333,0.0791666666666667,0,2.5,89.5833333333333,7.91666666666667,0,0.020758024,8.02683979377655,93.5829241261114,11.6587507076782,"93.5829241261114:11.6587507076782:1",93.5829241261114,11.6587507076782,"93.5829241261114:11.6587507076782:1"
"6","6",48,1,13,2.2,"yes","2022",0,0,0,0,0,0,3332,6549,3171,0.48,0.48,28.9,0,0,0,0,0,0,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",549,863,15.8,26.3,1.35,40.8,14.5,0.021208167,13.69703917,0.240248162,1.785933077,1,28.9,0,1,0,0,0,100,0,0,0.021208167,7.43370131172949,84.2096856838217,11.3280964828314,"84.2096856838217:11.3280964828314:1",84.2096856838217,11.3280964828314,"84.2096856838217:11.3280964828314:1"
"7","7",48,2,13,16,"no","2022",906,1082,150,0.14,0.14,2.9,1561,2451,885,0.36,0.36,6,1290,1758,482,0.27,0.27,3.3,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",765.5,940,22.1,24.9,2.67,9.55,38.4,0.018349757,7.260805833,0.136179086,0.934892669,1,12.2,0.237704918032787,0.491803278688525,0.270491803278689,0,23.7704918032787,49.1803278688525,27.0491803278689,0,0.018349757,6.86517068413868,50.9485040592091,7.42130187337086,"50.9485040592091:7.42130187337086:1",50.9485040592091,7.42130187337086,"50.9485040592091:7.42130187337086:1"
"8","8",48,2,13,16,"no","2022",991,1086,122,0.11,0.11,3.2,1683,2568,876,0.34,0.34,6.5,1295,1748,464,0.27,0.27,3.3,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",733,1040,29.9,28,2.19,2.99,34.3,0.017539499,10.19568917,0.1662088,1.257894337,1,13,0.246153846153846,0.5,0.253846153846154,0,24.6153846153846,50,25.3846153846154,0,0.017539499,7.56815726363466,71.7178031710028,9.47625699000866,"71.7178031710028:9.47625699000866:1",71.7178031710028,9.47625699000866,"71.7178031710028:9.47625699000866:1"
"9","9",48,2,13,16,"no","2022",1051,1295,154,0.12,0.12,3.3,1349,2276,874,0.38,0.38,5.2,1193,1717,468,0.27,0.27,3.1,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",797,1040,24.5,29.5,2.11,26.4,40.3,0.01760702,7.261538333,0.174730923,1.277663261,1,11.6,0.28448275862069,0.448275862068966,0.267241379310345,0,28.448275862069,44.8275862068966,26.7241379310345,0,0.01760702,7.31217599646057,72.5655597028912,9.92393505544947,"72.5655597028912:9.92393505544947:1",72.5655597028912,9.92393505544947,"72.5655597028912:9.92393505544947:1"
"10","10",48,2,13,16,"yes","2022",852,974,122,0.13,0.13,2.7,1403,2330,924,0.4,0.4,5.4,1040,1395,364,0.26,0.26,2.7,0,0,0,0,0,0,"na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",740,1020,22.6,31.8,3.48,6.68,35.9,0.020127823,7.764033333,0.171716213,1.216819733,1,10.8,0.25,0.5,0.25,0,25,50,25,0,0.020127823,7.0862250671694,60.4546121555222,8.53128592197974,"60.4546121555222:8.53128592197974:1",60.4546121555222,8.53128592197974,"60.4546121555222:8.53128592197974:1"
